TransactionID,CustomerID,TransactionDate,ProductID,Amount,PaymentType,Country,MerchantID,IsFraudulent,Category,CustomerAge,CustomerEmailDomain,TransactionTime,ProductDescription,Quantity,IPAddress,DeviceID,TransactionStatus
17,100,2023-01-01 16:00:00,93,392.92,Debit Card,France,1286,0,Sports,35.0,hotmail.com,12:00:00,Poor,2.0,127.0.0.1,834,Pending
18,360,2023-01-01 17:00:00,86,731.21,Credit Card,Germany,1822,0,Home & Garden,18.0,gmail.com,12:45:00,Good,5.0,10.0.0.1,382,Pending
19,152,2023-01-01 18:00:00,25,882.85,PayPal,Australia,1252,0,Home & Garden,45.0,yahoo.com,13:30:00,Average,1.0,172.16.0.1,544,Cancelled
20,131,2023-01-01 19:00:00,13,672.59,PayPal,Germany,2000,0,Electronics,25.0,yahoo.com,14:15:00,Poor,4.0,127.0.0.1,502,Pending
21,150,2023-01-01 20:00:00,82,261.88,Credit Card,Germany,1777,0,Electronics,35.0,yahoo.com,15:00:00,Good,1.0,,403,Pending
22,309,2023-01-01 21:00:00,33,676.23,Credit Card,Australia,1699,0,Clothing,18.0,hotmail.com,15:45:00,Average,9.0,,824,Cancelled
23,258,2023-01-01 22:00:00,16,300.24,PayPal,Australia,1385,0,Books,40.0,example.com,16:30:00,Good,2.0,172.16.0.1,261,Failed
24,344,2023-01-01 23:00:00,42,719.84,Debit Card,USA,1229,0,Sports,18.0,hotmail.com,17:15:00,Good,7.0,10.0.0.1,387,Cancelled
25,492,2023-01-02 00:00:00,66,954.26,Debit Card,Germany,1270,0,Home & Garden,,example.com,18:00:00,Average,3.0,10.0.0.1,412,Failed
26,414,2023-01-02 01:00:00,55,722.79,PayPal,France,1770,0,Electronics,,hotmail.com,18:45:00,Average,2.0,10.0.0.1,346,Cancelled
27,294,2023-01-02 02:00:00,99,863.57,Debit Card,France,1810,0,Sports,65.0,yahoo.com,19:30:00,Good,4.0,192.168.1.1,983,Completed
28,386,2023-01-02 03:00:00,42,7.09,Credit Card,Canada,1414,0,Books,18.0,yahoo.com,20:15:00,Good,7.0,,94,Pending
29,192,2023-01-02 04:00:00,34,718.98,Debit Card,Australia,1197,1,Home & Garden,50.0,yahoo.com,21:00:00,Good,7.0,172.16.0.1,328,Failed
30,444,2023-01-02 05:00:00,30,830.44,Debit Card,USA,1322,0,Home & Garden,,gmail.com,21:45:00,Good,9.0,192.168.1.1,100,Cancelled
31,277,2023-01-02 06:00:00,13,,Wire Transfer,France,1055,0,Books,18.0,gmail.com,22:30:00,Good,3.0,10.0.0.1,797,Failed
32,161,2023-01-02 07:00:00,13,872.24,Wire Transfer,UK,1830,0,Home & Garden,40.0,example.com,23:15:00,Good,7.0,172.16.0.1,461,Failed
33,460,2023-01-02 08:00:00,18,260.41,Wire Transfer,USA,1202,0,Books,35.0,gmail.com,00:00:00,Average,6.0,172.16.0.1,315,Pending
34,314,2023-01-02 09:00:00,32,666.97,Debit Card,USA,1782,0,Home & Garden,,hotmail.com,00:45:00,Average,7.0,192.168.1.1,25,Failed
35,22,2023-01-02 10:00:00,96,801.35,PayPal,France,1620,0,Clothing,60.0,hotmail.com,01:30:00,Poor,7.0,,918,Cancelled
36,253,2023-01-02 11:00:00,99,664.35,Credit Card,UK,1627,0,Books,50.0,example.com,02:15:00,Poor,5.0,10.0.0.1,494,Completed
37,236,2023-01-02 12:00:00,39,96.82,Debit Card,Canada,1603,0,Sports,45.0,example.com,03:00:00,Good,9.0,192.168.1.1,353,Completed
38,345,2023-01-02 13:00:00,46,598.34,PayPal,France,1137,0,Clothing,35.0,yahoo.com,03:45:00,Good,7.0,192.168.1.1,869,Pending
39,49,2023-01-02 14:00:00,29,551.84,Debit Card,UK,1421,0,Sports,30.0,gmail.com,04:30:00,Poor,7.0,172.16.0.1,117,Cancelled
40,475,2023-01-02 15:00:00,62,900.82,Credit Card,USA,1814,0,Home & Garden,60.0,yahoo.com,05:15:00,Good,3.0,192.168.1.1,199,Cancelled
41,59,2023-01-02 16:00:00,93,407.22,Debit Card,UK,1056,0,Sports,,gmail.com,06:00:00,Good,1.0,192.168.1.1,279,Completed
42,170,2023-01-02 17:00:00,62,324.48,Credit Card,USA,1561,0,Clothing,40.0,gmail.com,06:45:00,Good,5.0,10.0.0.1,582,Cancelled
43,476,2023-01-02 18:00:00,57,751.1,Debit Card,France,1070,0,Books,25.0,example.com,07:30:00,Average,8.0,127.0.0.1,847,Failed
44,188,2023-01-02 19:00:00,16,415.61,Credit Card,Australia,1910,0,Electronics,,yahoo.com,08:15:00,Average,5.0,192.168.1.1,79,Pending
45,464,2023-01-02 20:00:00,56,,Debit Card,France,1913,0,Sports,60.0,yahoo.com,09:00:00,,3.0,10.0.0.1,424,Completed
46,271,2023-01-02 21:00:00,10,648.22,Credit Card,Germany,1593,0,Electronics,30.0,gmail.com,09:45:00,Poor,9.0,172.16.0.1,354,Pending
47,190,2023-01-02 22:00:00,30,888.6,Wire Transfer,Germany,1371,0,Sports,35.0,gmail.com,10:30:00,Average,2.0,192.168.1.1,526,Failed
48,446,2023-01-02 23:00:00,25,600.7,Debit Card,Germany,1616,0,Sports,18.0,example.com,11:15:00,Good,3.0,172.16.0.1,541,Completed
49,175,2023-01-03 00:00:00,84,504.64,Debit Card,France,1599,0,Books,55.0,hotmail.com,12:00:00,Good,4.0,192.168.1.1,656,Cancelled
50,446,2023-01-03 01:00:00,5,143.18,PayPal,Canada,1513,0,Home & Garden,,yahoo.com,12:45:00,Good,1.0,192.168.1.1,477,Cancelled
51,51,2023-01-03 02:00:00,65,120.16,PayPal,France,1871,0,Clothing,55.0,yahoo.com,13:30:00,Good,4.0,172.16.0.1,855,Failed
52,364,2023-01-03 03:00:00,94,158.55,Credit Card,Australia,1083,1,Clothing,18.0,example.com,14:15:00,Good,4.0,10.0.0.1,10,Completed
53,55,2023-01-03 04:00:00,49,175.99,Debit Card,UK,1993,0,Clothing,55.0,example.com,15:00:00,Good,9.0,192.168.1.1,559,Pending
54,244,2023-01-03 05:00:00,3,639.69,Credit Card,France,1042,0,Home & Garden,50.0,yahoo.com,15:45:00,Good,8.0,172.16.0.1,503,Completed
55,320,2023-01-03 06:00:00,45,742.28,Wire Transfer,France,1665,0,Electronics,18.0,yahoo.com,16:30:00,Good,2.0,,260,Cancelled
56,131,2023-01-03 07:00:00,14,532.34,PayPal,USA,1838,0,Clothing,40.0,gmail.com,17:15:00,,7.0,127.0.0.1,524,Completed
57,485,2023-01-03 08:00:00,30,829.87,Credit Card,USA,1933,0,Electronics,,hotmail.com,18:00:00,Average,,,810,Completed
58,307,2023-01-03 09:00:00,68,,Credit Card,USA,1605,0,Home & Garden,18.0,yahoo.com,18:45:00,,7.0,,738,Cancelled
59,135,2023-01-03 10:00:00,18,820.91,PayPal,France,1809,0,Home & Garden,55.0,example.com,19:30:00,Good,,,772,Cancelled
60,21,2023-01-03 11:00:00,62,696.41,Debit Card,Canada,1132,0,Books,35.0,gmail.com,20:15:00,Average,5.0,127.0.0.1,596,Pending
61,329,2023-01-03 12:00:00,37,534.83,Credit Card,UK,1394,0,Clothing,,gmail.com,21:00:00,Good,6.0,127.0.0.1,860,Completed
62,167,2023-01-03 13:00:00,25,451.61,PayPal,UK,1064,0,Books,18.0,example.com,21:45:00,Good,9.0,10.0.0.1,860,Cancelled
63,274,2023-01-03 14:00:00,48,88.97,Debit Card,Australia,1289,0,Clothing,30.0,example.com,22:30:00,Good,2.0,192.168.1.1,6,Failed
64,388,2023-01-03 15:00:00,65,402.37,Wire Transfer,Canada,1375,0,Home & Garden,55.0,gmail.com,23:15:00,,9.0,127.0.0.1,910,Cancelled
65,89,2023-01-03 16:00:00,53,910.58,PayPal,Canada,1768,0,Home & Garden,,example.com,00:00:00,,1.0,,759,Pending
66,316,2023-01-03 17:00:00,79,808.98,Credit Card,UK,1466,0,Sports,65.0,gmail.com,00:45:00,Good,4.0,172.16.0.1,35,Pending
67,14,2023-01-03 18:00:00,73,219.97,Wire Transfer,Germany,1897,1,Sports,60.0,example.com,01:30:00,Good,5.0,127.0.0.1,175,Failed
68,242,2023-01-03 19:00:00,15,,Debit Card,USA,1212,0,Home & Garden,,gmail.com,02:15:00,Average,,172.16.0.1,442,Pending
69,265,2023-01-03 20:00:00,49,817.64,Debit Card,USA,1147,0,Home & Garden,18.0,yahoo.com,03:00:00,Good,6.0,172.16.0.1,577,Completed
70,346,2023-01-03 21:00:00,88,72.05,PayPal,UK,1572,0,Electronics,55.0,yahoo.com,03:45:00,Good,4.0,172.16.0.1,147,Pending
71,53,2023-01-03 22:00:00,68,,PayPal,Canada,1470,1,Electronics,30.0,example.com,04:30:00,Good,2.0,172.16.0.1,569,Failed
72,386,2023-01-03 23:00:00,12,852.58,PayPal,Australia,1148,0,Books,,hotmail.com,05:15:00,Average,5.0,10.0.0.1,193,Pending
73,340,2023-01-04 00:00:00,59,406.88,Debit Card,Germany,1087,0,Sports,25.0,yahoo.com,06:00:00,Good,8.0,127.0.0.1,13,Failed
74,92,2023-01-04 01:00:00,37,82.23,Wire Transfer,UK,1323,0,Sports,40.0,gmail.com,06:45:00,Good,8.0,,904,Pending
75,367,2023-01-04 02:00:00,61,544.82,Debit Card,USA,1894,0,Home & Garden,50.0,hotmail.com,07:30:00,Good,6.0,,530,Cancelled
76,444,2023-01-04 03:00:00,43,862.43,Credit Card,France,1395,0,Home & Garden,18.0,gmail.com,08:15:00,Average,1.0,10.0.0.1,246,Failed
77,455,2023-01-04 04:00:00,70,592.33,Debit Card,Canada,1789,0,Books,18.0,gmail.com,09:00:00,,8.0,,675,Pending
78,428,2023-01-04 05:00:00,39,230.15,Credit Card,France,1403,0,Sports,60.0,yahoo.com,09:45:00,Good,4.0,10.0.0.1,855,Completed
79,264,2023-01-04 06:00:00,56,387.32,Wire Transfer,Australia,1081,0,Electronics,50.0,example.com,10:30:00,Poor,2.0,10.0.0.1,114,Failed
80,431,2023-01-04 07:00:00,63,452.87,PayPal,UK,1640,0,Clothing,40.0,example.com,11:15:00,Poor,1.0,127.0.0.1,794,Failed
81,35,2023-01-04 08:00:00,46,581.37,PayPal,USA,1285,0,Books,50.0,gmail.com,12:00:00,,7.0,10.0.0.1,233,Pending
82,206,2023-01-04 09:00:00,88,760.55,Debit Card,Germany,1381,0,Clothing,35.0,yahoo.com,12:45:00,Poor,2.0,192.168.1.1,678,Cancelled
83,81,2023-01-04 10:00:00,11,103.38,PayPal,France,1864,0,Electronics,50.0,gmail.com,13:30:00,Average,4.0,10.0.0.1,980,Cancelled
84,420,2023-01-04 11:00:00,62,890.2,Wire Transfer,Germany,1791,0,Electronics,30.0,hotmail.com,14:15:00,Poor,4.0,127.0.0.1,322,Pending
85,50,2023-01-04 12:00:00,77,17.25,PayPal,Australia,1269,0,Clothing,25.0,gmail.com,15:00:00,Good,1.0,10.0.0.1,538,Pending
86,360,2023-01-04 13:00:00,98,,Debit Card,USA,1291,0,Books,50.0,yahoo.com,15:45:00,Average,2.0,127.0.0.1,126,Completed
87,388,2023-01-04 14:00:00,25,32.28,Wire Transfer,France,1452,0,Clothing,35.0,gmail.com,16:30:00,,1.0,127.0.0.1,313,Pending
88,2,2023-01-04 15:00:00,71,396.01,Credit Card,Australia,1714,0,Books,65.0,yahoo.com,17:15:00,Poor,,127.0.0.1,511,Failed
89,390,2023-01-04 16:00:00,52,528.18,Debit Card,Germany,1023,0,Books,30.0,example.com,18:00:00,,3.0,,484,Pending
90,54,2023-01-04 17:00:00,4,514.12,Credit Card,Germany,1955,0,Home & Garden,60.0,yahoo.com,18:45:00,Poor,,172.16.0.1,281,Completed
91,106,2023-01-04 18:00:00,59,169.8,Wire Transfer,France,1862,0,Sports,60.0,hotmail.com,19:30:00,Poor,8.0,192.168.1.1,798,Pending
92,260,2023-01-04 19:00:00,72,647.51,Debit Card,USA,1310,0,Sports,25.0,yahoo.com,20:15:00,Poor,4.0,10.0.0.1,978,Pending
93,310,2023-01-04 20:00:00,20,49.55,Debit Card,Germany,1460,0,Electronics,50.0,hotmail.com,21:00:00,Poor,7.0,172.16.0.1,903,Failed
94,477,2023-01-04 21:00:00,93,763.1,Wire Transfer,UK,1207,0,Home & Garden,35.0,hotmail.com,21:45:00,Average,2.0,127.0.0.1,283,Cancelled
95,191,2023-01-04 22:00:00,63,,PayPal,Australia,1791,0,Sports,60.0,gmail.com,22:30:00,,6.0,192.168.1.1,651,Pending
96,402,2023-01-04 23:00:00,54,343.07,Debit Card,France,1716,0,Books,35.0,hotmail.com,23:15:00,Poor,6.0,10.0.0.1,613,Completed
97,218,2023-01-05 00:00:00,74,519.65,Debit Card,Canada,1663,0,Books,50.0,yahoo.com,00:00:00,Poor,7.0,127.0.0.1,392,Pending
98,44,2023-01-05 01:00:00,98,382.02,Credit Card,Canada,1437,0,Clothing,35.0,example.com,00:45:00,Average,1.0,127.0.0.1,523,Pending
99,162,2023-01-05 02:00:00,57,11.68,PayPal,USA,1537,0,Clothing,,yahoo.com,01:30:00,Good,1.0,127.0.0.1,382,Failed
100,202,2023-01-05 03:00:00,90,388.95,Credit Card,UK,1705,0,Books,18.0,example.com,02:15:00,Good,2.0,,216,Cancelled
101,446,2023-01-05 04:00:00,41,792.76,Credit Card,Germany,1335,0,Books,35.0,hotmail.com,03:00:00,,2.0,127.0.0.1,542,Cancelled
102,484,2023-01-05 05:00:00,3,598.01,PayPal,Canada,1421,0,Clothing,50.0,gmail.com,03:45:00,Average,5.0,127.0.0.1,606,Cancelled
103,270,2023-01-05 06:00:00,6,105.75,PayPal,USA,1749,0,Sports,45.0,hotmail.com,04:30:00,Good,1.0,172.16.0.1,116,Pending
104,351,2023-01-05 07:00:00,5,847.9,Wire Transfer,Australia,1320,0,Electronics,45.0,hotmail.com,05:15:00,Good,2.0,,509,Failed
105,304,2023-01-05 08:00:00,5,533.43,PayPal,UK,1496,0,Clothing,25.0,example.com,06:00:00,Poor,6.0,172.16.0.1,500,Failed
106,271,2023-01-05 09:00:00,54,842.51,Debit Card,UK,1586,0,Sports,35.0,yahoo.com,06:45:00,Poor,3.0,10.0.0.1,271,Pending
107,456,2023-01-05 10:00:00,47,582.32,PayPal,USA,1946,0,Sports,,gmail.com,07:30:00,Poor,4.0,10.0.0.1,440,Failed
108,462,2023-01-05 11:00:00,87,561.89,Wire Transfer,USA,1162,0,Sports,55.0,gmail.com,08:15:00,Average,1.0,127.0.0.1,291,Cancelled
109,215,2023-01-05 12:00:00,49,109.73,Wire Transfer,Germany,1810,0,Home & Garden,65.0,gmail.com,09:00:00,Good,,,39,Failed
110,252,2023-01-05 13:00:00,9,171.52,Wire Transfer,USA,1540,0,Home & Garden,35.0,gmail.com,09:45:00,Good,4.0,192.168.1.1,24,Pending
111,190,2023-01-05 14:00:00,99,972.17,PayPal,Germany,1164,0,Sports,,yahoo.com,10:30:00,Good,8.0,192.168.1.1,776,Pending
112,296,2023-01-05 15:00:00,20,232.34,PayPal,Germany,1848,0,Books,18.0,gmail.com,11:15:00,Poor,3.0,,43,Completed
113,213,2023-01-05 16:00:00,61,977.56,Credit Card,France,1697,0,Home & Garden,45.0,example.com,12:00:00,Good,1.0,,170,Completed
114,208,2023-01-05 17:00:00,35,534.25,Credit Card,UK,1565,0,Clothing,45.0,example.com,12:45:00,Average,5.0,10.0.0.1,340,Failed
115,237,2023-01-05 18:00:00,50,,Debit Card,Australia,1294,0,Home & Garden,50.0,gmail.com,13:30:00,Average,1.0,10.0.0.1,169,Failed
116,338,2023-01-05 19:00:00,82,103.81,Credit Card,UK,1041,0,Books,25.0,gmail.com,14:15:00,Average,5.0,127.0.0.1,815,Pending
117,367,2023-01-05 20:00:00,62,212.82,Debit Card,UK,1923,0,Electronics,50.0,yahoo.com,15:00:00,,9.0,10.0.0.1,538,Completed
118,53,2023-01-05 21:00:00,17,926.01,Wire Transfer,France,1284,0,Home & Garden,45.0,yahoo.com,15:45:00,Good,5.0,,692,Completed
119,280,2023-01-05 22:00:00,88,417.08,Credit Card,Germany,1938,0,Sports,30.0,gmail.com,16:30:00,Poor,2.0,192.168.1.1,472,Cancelled
120,410,2023-01-05 23:00:00,3,398.46,PayPal,Germany,1386,0,Sports,40.0,yahoo.com,17:15:00,Good,2.0,192.168.1.1,662,Cancelled
121,217,2023-01-06 00:00:00,32,316.64,Credit Card,USA,1137,0,Sports,18.0,hotmail.com,18:00:00,Good,9.0,10.0.0.1,645,Pending
122,252,2023-01-06 01:00:00,99,151.33,Debit Card,France,1186,0,Electronics,35.0,gmail.com,18:45:00,Average,5.0,10.0.0.1,143,Pending
123,188,2023-01-06 02:00:00,13,490.41,Credit Card,USA,1909,0,Books,55.0,yahoo.com,19:30:00,Good,8.0,192.168.1.1,676,Pending
124,380,2023-01-06 03:00:00,89,134.4,Wire Transfer,France,1715,0,Clothing,35.0,example.com,20:15:00,Poor,4.0,192.168.1.1,101,Pending
125,493,2023-01-06 04:00:00,73,836.3,PayPal,USA,1430,0,Books,55.0,gmail.com,21:00:00,Average,2.0,127.0.0.1,575,Completed
126,41,2023-01-06 05:00:00,68,373.55,Debit Card,Canada,1553,0,Electronics,40.0,gmail.com,21:45:00,Good,4.0,192.168.1.1,605,Pending
127,157,2023-01-06 06:00:00,14,377.93,PayPal,UK,1861,0,Sports,18.0,example.com,22:30:00,Good,4.0,,719,Pending
128,15,2023-01-06 07:00:00,98,476.64,PayPal,UK,1415,0,Books,40.0,example.com,23:15:00,Average,9.0,10.0.0.1,475,Completed
129,301,2023-01-06 08:00:00,11,446.91,Debit Card,Australia,1799,0,Clothing,40.0,yahoo.com,00:00:00,Poor,6.0,127.0.0.1,945,Cancelled
130,65,2023-01-06 09:00:00,56,994.88,PayPal,Germany,1425,0,Sports,,example.com,00:45:00,Average,6.0,10.0.0.1,311,Pending
131,345,2023-01-06 10:00:00,67,547.65,PayPal,Australia,1415,0,Clothing,18.0,hotmail.com,01:30:00,Average,5.0,10.0.0.1,584,Cancelled
132,327,2023-01-06 11:00:00,92,92.76,Credit Card,Canada,1025,0,Home & Garden,35.0,gmail.com,02:15:00,Poor,6.0,172.16.0.1,60,Completed
133,9,2023-01-06 12:00:00,29,608.84,PayPal,Australia,1370,0,Clothing,,hotmail.com,03:00:00,Average,1.0,172.16.0.1,953,Cancelled
134,344,2023-01-06 13:00:00,9,155.83,PayPal,UK,1384,0,Sports,,yahoo.com,03:45:00,Good,5.0,127.0.0.1,29,Completed
135,129,2023-01-06 14:00:00,67,35.78,PayPal,Germany,1055,0,Home & Garden,35.0,example.com,04:30:00,Average,6.0,127.0.0.1,531,Pending
136,492,2023-01-06 15:00:00,25,970.89,PayPal,Canada,1252,0,Sports,30.0,gmail.com,05:15:00,Average,8.0,127.0.0.1,991,Cancelled
137,136,2023-01-06 16:00:00,98,774.67,Debit Card,UK,1633,0,Sports,60.0,example.com,06:00:00,Poor,4.0,172.16.0.1,73,Pending
138,472,2023-01-06 17:00:00,76,980.21,Wire Transfer,USA,1105,0,Home & Garden,,example.com,06:45:00,Average,5.0,,394,Failed
139,63,2023-01-06 18:00:00,42,480.49,Credit Card,France,1129,0,Clothing,50.0,yahoo.com,07:30:00,,4.0,127.0.0.1,869,Failed
140,139,2023-01-06 19:00:00,9,534.6,PayPal,Canada,1848,0,Electronics,40.0,yahoo.com,08:15:00,Good,7.0,,394,Cancelled
141,499,2023-01-06 20:00:00,79,172.5,PayPal,Germany,1669,0,Electronics,50.0,yahoo.com,09:00:00,,6.0,,758,Completed
142,81,2023-01-06 21:00:00,40,250.67,Debit Card,Australia,1375,0,Electronics,25.0,yahoo.com,09:45:00,Average,4.0,192.168.1.1,481,Cancelled
143,392,2023-01-06 22:00:00,25,839.36,Wire Transfer,Australia,1742,0,Electronics,60.0,gmail.com,10:30:00,Average,6.0,10.0.0.1,473,Completed
144,163,2023-01-06 23:00:00,5,359.4,PayPal,Canada,1966,0,Books,40.0,hotmail.com,11:15:00,Good,4.0,172.16.0.1,313,Failed
145,419,2023-01-07 00:00:00,11,827.68,Debit Card,Germany,1307,0,Electronics,55.0,hotmail.com,12:00:00,Good,8.0,127.0.0.1,438,Completed
146,289,2023-01-07 01:00:00,59,710.47,Credit Card,Canada,1090,0,Home & Garden,30.0,gmail.com,12:45:00,Poor,3.0,172.16.0.1,952,Failed
147,379,2023-01-07 02:00:00,98,181.29,Credit Card,Germany,1392,0,Electronics,18.0,example.com,13:30:00,Poor,8.0,127.0.0.1,324,Cancelled
148,261,2023-01-07 03:00:00,88,509.91,PayPal,Australia,1533,0,Sports,45.0,gmail.com,14:15:00,Good,2.0,10.0.0.1,965,Pending
149,490,2023-01-07 04:00:00,79,679.0,PayPal,UK,1801,0,Electronics,,hotmail.com,15:00:00,Average,6.0,192.168.1.1,87,Pending
150,231,2023-01-07 05:00:00,38,238.86,Wire Transfer,USA,1109,0,Clothing,,hotmail.com,15:45:00,Good,8.0,192.168.1.1,359,Pending
151,41,2023-01-07 06:00:00,72,831.54,Wire Transfer,UK,1560,0,Home & Garden,18.0,gmail.com,16:30:00,,1.0,172.16.0.1,695,Completed
152,28,2023-01-07 07:00:00,5,547.1,PayPal,USA,1640,0,Home & Garden,45.0,yahoo.com,17:15:00,Poor,6.0,127.0.0.1,197,Pending
153,135,2023-01-07 08:00:00,48,169.42,Debit Card,Australia,1584,0,Books,,example.com,18:00:00,Good,9.0,10.0.0.1,756,Completed
154,201,2023-01-07 09:00:00,90,585.07,Wire Transfer,UK,1339,1,Sports,35.0,gmail.com,18:45:00,Poor,2.0,127.0.0.1,840,Pending
155,328,2023-01-07 10:00:00,18,999.72,PayPal,UK,1564,0,Home & Garden,55.0,hotmail.com,19:30:00,,1.0,192.168.1.1,977,Completed
156,268,2023-01-07 11:00:00,70,154.77,Wire Transfer,Canada,1978,0,Clothing,40.0,yahoo.com,20:15:00,Good,2.0,192.168.1.1,385,Completed
157,418,2023-01-07 12:00:00,37,817.67,PayPal,France,1355,0,Electronics,35.0,example.com,21:00:00,Poor,5.0,127.0.0.1,118,Failed
158,33,2023-01-07 13:00:00,60,211.27,Credit Card,Australia,1891,0,Home & Garden,60.0,hotmail.com,21:45:00,Average,6.0,10.0.0.1,498,Failed
159,48,2023-01-07 14:00:00,48,783.48,PayPal,Germany,1167,0,Clothing,55.0,example.com,22:30:00,Average,1.0,127.0.0.1,908,Cancelled
160,407,2023-01-07 15:00:00,77,735.91,Credit Card,Australia,1556,0,Electronics,50.0,yahoo.com,23:15:00,Good,7.0,,931,Failed
161,62,2023-01-07 16:00:00,28,303.99,Wire Transfer,Germany,1451,0,Books,25.0,hotmail.com,00:00:00,Good,4.0,,884,Completed
162,216,2023-01-07 17:00:00,69,329.19,PayPal,Germany,1904,0,Home & Garden,40.0,yahoo.com,00:45:00,Average,9.0,192.168.1.1,462,Failed
163,293,2023-01-07 18:00:00,77,793.56,Wire Transfer,USA,1104,0,Home & Garden,25.0,gmail.com,01:30:00,Good,6.0,172.16.0.1,496,Failed
164,99,2023-01-07 19:00:00,81,464.14,Credit Card,Germany,1149,0,Clothing,35.0,gmail.com,02:15:00,Poor,9.0,127.0.0.1,594,Failed
165,172,2023-01-07 20:00:00,40,732.16,PayPal,Germany,1145,0,Sports,35.0,example.com,03:00:00,Good,1.0,127.0.0.1,970,Completed
166,360,2023-01-07 21:00:00,45,152.24,Wire Transfer,Canada,1715,0,Books,55.0,yahoo.com,03:45:00,Average,4.0,127.0.0.1,247,Completed
167,214,2023-01-07 22:00:00,96,853.29,Credit Card,UK,1873,0,Sports,55.0,yahoo.com,04:30:00,Poor,2.0,10.0.0.1,975,Cancelled
168,475,2023-01-07 23:00:00,62,712.33,Wire Transfer,Australia,1298,0,Home & Garden,35.0,example.com,05:15:00,Average,6.0,192.168.1.1,234,Failed
169,35,2023-01-08 00:00:00,93,907.41,Debit Card,Australia,1166,0,Sports,,example.com,06:00:00,Average,,172.16.0.1,417,Failed
170,449,2023-01-08 01:00:00,58,136.71,Credit Card,Germany,1712,0,Electronics,55.0,example.com,06:45:00,,9.0,127.0.0.1,467,Completed
171,227,2023-01-08 02:00:00,67,595.05,Credit Card,France,1645,0,Books,18.0,gmail.com,07:30:00,Poor,3.0,10.0.0.1,482,Cancelled
172,101,2023-01-08 03:00:00,56,601.12,Credit Card,Australia,1722,0,Sports,45.0,example.com,08:15:00,Good,1.0,192.168.1.1,365,Cancelled
173,431,2023-01-08 04:00:00,40,356.69,PayPal,Germany,1047,0,Electronics,,gmail.com,09:00:00,Average,1.0,127.0.0.1,153,Completed
174,462,2023-01-08 05:00:00,98,461.17,PayPal,USA,1637,0,Clothing,30.0,example.com,09:45:00,,9.0,10.0.0.1,272,Failed
175,131,2023-01-08 06:00:00,40,42.79,PayPal,USA,1238,0,Sports,65.0,yahoo.com,10:30:00,Good,9.0,192.168.1.1,392,Cancelled
176,257,2023-01-08 07:00:00,91,747.13,Debit Card,USA,1006,0,Books,18.0,yahoo.com,11:15:00,Good,5.0,192.168.1.1,547,Cancelled
177,5,2023-01-08 08:00:00,77,551.58,Debit Card,Germany,1463,0,Electronics,35.0,example.com,12:00:00,Good,2.0,10.0.0.1,725,Failed
